scope,d_sig,d_sil,d_total,rho_sig,rho_sil,sil_sig_ratio,ticker,sil_gt_sig
PSX,3,228,231,0.012987012987012988,0.987012987012987,76.0,PSX,True
VRSN,9,222,231,0.03896103896103896,0.961038961038961,24.666666666666668,VRSN,True
LYV,3,223,226,0.01327433628318584,0.9867256637168141,74.33333333333333,LYV,True
HRL,1,223,224,0.004464285714285714,0.9955357142857143,223.0,HRL,True
IVZ,2,220,222,0.009009009009009009,0.990990990990991,110.0,IVZ,True
PHM,5,209,214,0.02336448598130841,0.9766355140186916,41.8,PHM,True
EOG,4,209,213,0.018779342723004695,0.9812206572769953,52.25,EOG,True
EMR,2,211,213,0.009389671361502348,0.9906103286384976,105.5,EMR,True
VICI,36,173,209,0.1722488038277512,0.8277511961722488,4.805555555555555,VICI,True
SYY,1,206,207,0.004830917874396135,0.9951690821256038,206.0,SYY,True
FRT,1,206,207,0.004830917874396135,0.9951690821256038,206.0,FRT,True
CINF,1,205,206,0.0048543689320388345,0.9951456310679612,205.0,CINF,True
CI,7,199,206,0.03398058252427184,0.9660194174757282,28.428571428571427,CI,True
CTRA,4,202,206,0.019417475728155338,0.9805825242718447,50.5,CTRA,True
GPC,1,204,205,0.004878048780487805,0.9951219512195122,204.0,GPC,True
DOV,1,204,205,0.004878048780487805,0.9951219512195122,204.0,DOV,True
PH,1,204,205,0.004878048780487805,0.9951219512195122,204.0,PH,True
ADSK,4,196,200,0.02,0.98,49.0,ADSK,True
SWKS,17,180,197,0.08629441624365482,0.9137055837563451,10.588235294117647,SWKS,True
ECL,1,190,191,0.005235602094240838,0.9947643979057592,190.0,ECL,True
WDC,1,188,189,0.005291005291005291,0.9947089947089947,188.0,WDC,True
HLT,2,186,188,0.010638297872340425,0.9893617021276596,93.0,HLT,True
BALL,2,186,188,0.010638297872340425,0.9893617021276596,93.0,BALL,True
ACN,5,180,185,0.02702702702702703,0.972972972972973,36.0,ACN,True
CTAS,8,172,180,0.044444444444444446,0.9555555555555556,21.5,CTAS,True
KEY,3,177,180,0.016666666666666666,0.9833333333333333,59.0,KEY,True
MNST,10,168,178,0.056179775280898875,0.9438202247191011,16.8,MNST,True
EFX,0,178,178,0.0,1.0,inf,EFX,True
SYK,4,172,176,0.022727272727272728,0.9772727272727273,43.0,SYK,True
DVA,1,174,175,0.005714285714285714,0.9942857142857143,174.0,DVA,True
GPN,1,170,171,0.005847953216374269,0.9941520467836257,170.0,GPN,True
STT,7,161,168,0.041666666666666664,0.9583333333333334,23.0,STT,True
