scope,d_sig,d_sil,d_total,rho_sig,rho_sil,sil_sig_ratio,ticker,sil_gt_sig
RCL,4,638,642,0.006230529595015576,0.9937694704049844,159.5,RCL,True
ARRY,3,639,642,0.004672897196261682,0.9953271028037384,213.0,ARRY,True
CYN,2,639,641,0.0031201248049922,0.9968798751950078,319.5,CYN,True
Z,3,635,638,0.004702194357366771,0.9952978056426333,211.66666666666666,Z,True
ELF,7,631,638,0.0109717868338558,0.9890282131661442,90.14285714285714,ELF,True
URI,10,627,637,0.015698587127158554,0.9843014128728415,62.7,URI,True
XBI,7,629,636,0.0110062893081761,0.9889937106918238,89.85714285714286,XBI,True
OKTA,3,632,635,0.004724409448818898,0.9952755905511811,210.66666666666666,OKTA,True
UVXY,3,631,634,0.00473186119873817,0.9952681388012619,210.33333333333334,UVXY,True
CELH,16,617,633,0.02527646129541864,0.9747235387045814,38.5625,CELH,True
TT,19,610,629,0.030206677265500796,0.9697933227344993,32.10526315789474,TT,True
FXI,19,610,629,0.030206677265500796,0.9697933227344993,32.10526315789474,FXI,True
TROW,68,559,627,0.10845295055821372,0.8915470494417863,8.220588235294118,TROW,True
TDOC,5,621,626,0.007987220447284345,0.9920127795527156,124.2,TDOC,True
BOIL,9,616,625,0.0144,0.9856,68.44444444444444,BOIL,True
MANU,5,619,624,0.008012820512820512,0.9919871794871795,123.8,MANU,True
MDLZ,13,607,620,0.020967741935483872,0.9790322580645161,46.69230769230769,MDLZ,True
TWLO,5,614,619,0.008077544426494346,0.9919224555735057,122.8,TWLO,True
HPE,5,610,615,0.008130081300813009,0.991869918699187,122.0,HPE,True
POET,5,609,614,0.008143322475570033,0.99185667752443,121.8,POET,True
PDSB,3,610,613,0.004893964110929853,0.9951060358890701,203.33333333333334,PDSB,True
SHAK,2,610,612,0.0032679738562091504,0.9967320261437909,305.0,SHAK,True
DOV,7,602,609,0.011494252873563218,0.9885057471264368,86.0,DOV,True
AA,4,603,607,0.006589785831960461,0.9934102141680395,150.75,AA,True
OIL,8,599,607,0.013179571663920923,0.9868204283360791,74.875,OIL,True
IYT,2,603,605,0.003305785123966942,0.996694214876033,301.5,IYT,True
RUN,4,600,604,0.006622516556291391,0.9933774834437086,150.0,RUN,True
APVO,2,598,600,0.0033333333333333335,0.9966666666666667,299.0,APVO,True
RL,8,592,600,0.013333333333333334,0.9866666666666667,74.0,RL,True
VXX,2,589,591,0.00338409475465313,0.9966159052453468,294.5,VXX,True
GEV,32,555,587,0.054514480408858604,0.9454855195911414,17.34375,GEV,True
CB,18,567,585,0.03076923076923077,0.9692307692307692,31.5,CB,True
CF,8,575,583,0.0137221269296741,0.9862778730703259,71.875,CF,True
KLAC,10,572,582,0.01718213058419244,0.9828178694158075,57.2,KLAC,True
FSLY,3,577,580,0.005172413793103448,0.9948275862068966,192.33333333333334,FSLY,True
NDSN,8,571,579,0.013816925734024179,0.9861830742659758,71.375,NDSN,True
APD,12,563,575,0.020869565217391306,0.9791304347826087,46.916666666666664,APD,True
REGN,14,560,574,0.024390243902439025,0.975609756097561,40.0,REGN,True
