file,source,kol,split,rows,state_dim,d_sig,d_sil,sil_sig_ratio,done_ratio,nan_total,inf_total,done_next_nonzero,non_done_next_zero,meta_len_ok,action_abs_mean,baseline_abs_mean,reward_mean,reward_std
youtube/Invest_with_Henry/train.pt,youtube,Invest_with_Henry,train,7805,1066,881,6924,7.859250851305335,0.007559257093816996,0,0,0,0,True,0.024510715156793594,0.017088929191231728,0.0005277455784380436,0.013827643357217312
youtube/Invest_with_Henry/val.pt,youtube,Invest_with_Henry,val,3688,1066,421,3267,7.760095011876484,0.01735357940196991,0,0,0,0,True,0.0225478857755661,0.0162140354514122,0.00031524276710115373,0.01710168644785881
youtube/Investing_with_Tom/test.pt,youtube,Investing_with_Tom,test,576,1066,78,498,6.384615384615385,0.0694444477558136,0,0,0,0,True,0.04726288840174675,0.02475864440202713,0.00041782192420214415,0.012434379197657108
youtube/Investing_with_Tom/train.pt,youtube,Investing_with_Tom,train,3125,1066,194,2931,15.108247422680412,0.017920000478625298,0,0,1,0,True,0.026434170082211494,0.012944357469677925,-0.0001905314129544422,0.01182724628597498
youtube/Investing_with_Tom/val.pt,youtube,Investing_with_Tom,val,493,1066,66,427,6.46969696969697,0.054766733199357986,0,0,0,0,True,0.05095493793487549,0.03103232942521572,0.002034089295193553,0.02185913547873497
youtube/Joseph_Carlson/test.pt,youtube,Joseph_Carlson,test,2173,1066,408,1765,4.325980392156863,0.03359410911798477,0,0,0,0,True,0.020274300128221512,0.018068952485919,0.00215877965092659,0.03695327043533325
youtube/Joseph_Carlson/train.pt,youtube,Joseph_Carlson,train,9454,1066,990,8464,8.54949494949495,0.01163528673350811,0,0,0,0,True,0.013750793412327766,0.011522172950208187,-2.1399744582595304e-05,0.015942251309752464
youtube/Joseph_Carlson/val.pt,youtube,Joseph_Carlson,val,2193,1066,336,1857,5.526785714285714,0.03283173590898514,0,0,0,0,True,0.019667305052280426,0.016980765387415886,0.0010963004315271974,0.015943871811032295
youtube/Learn_to_Invest/test.pt,youtube,Learn_to_Invest,test,887,1066,75,812,10.826666666666666,0.05298759788274765,0,0,0,0,True,0.031567081809043884,0.01646995171904564,0.0018541591707617044,0.02849404886364937
youtube/Learn_to_Invest/train.pt,youtube,Learn_to_Invest,train,6972,1066,374,6598,17.641711229946523,0.015490533784031868,0,0,0,0,True,0.012779437936842442,0.007193448953330517,0.0006595315644517541,0.020227866247296333
youtube/Learn_to_Invest/val.pt,youtube,Learn_to_Invest,val,778,1066,82,696,8.487804878048781,0.0514138825237751,0,0,0,0,True,0.03470436856150627,0.01772606372833252,0.0007802660693414509,0.01986568421125412
youtube/MarketBeat/test.pt,youtube,MarketBeat,test,6848,1066,404,6444,15.950495049504951,0.017231307923793793,0,0,0,0,True,0.013142524287104607,0.008634938858449459,4.482269287109375e-05,0.00792232807725668
youtube/MarketBeat/train.pt,youtube,MarketBeat,train,25184,1066,639,24545,38.41158059467919,0.0055193775333464146,0,0,0,0,True,0.010494530200958252,0.004958702251315117,3.600783384172246e-05,0.005293256603181362
youtube/MarketBeat/val.pt,youtube,MarketBeat,val,6153,1066,380,5773,15.192105263157895,0.01803998090326786,0,0,0,0,True,0.015114576555788517,0.00972805730998516,0.00017841758381109685,0.009962347336113453
youtube/Sven_Carlin_Ph.D./test.pt,youtube,Sven_Carlin_Ph.D.,test,1496,1066,103,1393,13.524271844660195,0.029411764815449715,0,0,0,0,True,0.03609625622630119,0.013371850363910198,0.0009757173829711974,0.012936647981405258
youtube/Sven_Carlin_Ph.D./train.pt,youtube,Sven_Carlin_Ph.D.,train,10551,1066,360,10191,28.308333333333334,0.010046441107988358,0,0,0,0,True,0.014618161134421825,0.006269052159041166,-3.41192317137029e-05,0.00813660304993391
youtube/Sven_Carlin_Ph.D./val.pt,youtube,Sven_Carlin_Ph.D.,val,1371,1066,118,1253,10.61864406779661,0.029175784438848495,0,0,0,0,True,0.043763674795627594,0.018600793555378914,0.0003415742248762399,0.008697371929883957
youtube/The_Maverick_of_Wall_Street/test.pt,youtube,The_Maverick_of_Wall_Street,test,12446,1066,1104,11342,10.273550724637682,0.017756709828972816,0,0,0,0,True,0.006034350022673607,0.005196447018533945,0.000655978568829596,0.01800769567489624
youtube/The_Maverick_of_Wall_Street/train.pt,youtube,The_Maverick_of_Wall_Street,train,36353,1066,2641,33712,12.764861794774706,0.005529117304831743,0,0,0,0,True,0.006302663590759039,0.0054625351913273335,-4.1695302570587955e-06,0.011880875565111637
youtube/The_Maverick_of_Wall_Street/val.pt,youtube,The_Maverick_of_Wall_Street,val,10685,1066,1299,9386,7.225558121632025,0.018624238669872284,0,0,0,0,True,0.0074935234151780605,0.006378638092428446,0.0006387696485035121,0.018053267151117325
youtube/Ticker_Take/test.pt,youtube,Ticker_Take,test,1183,1066,142,1041,7.330985915492958,0.07438714802265167,0,0,0,0,True,0.0253592561930418,0.01595977321267128,-6.144813232822344e-05,0.012287435121834278
youtube/Ticker_Take/train.pt,youtube,Ticker_Take,train,6182,1066,333,5849,17.564564564564563,0.02167583256959915,0,0,0,0,True,0.015367195010185242,0.007666944060474634,-6.0788846894865856e-05,0.009596769697964191
youtube/Ticker_Take/val.pt,youtube,Ticker_Take,val,1130,1066,140,990,7.071428571428571,0.048672568053007126,0,0,0,0,True,0.02654867246747017,0.017189819365739822,0.00025840941816568375,0.010210576467216015
youtube/Tom_Nash/test.pt,youtube,Tom_Nash,test,2465,1066,266,2199,8.266917293233083,0.018255578354001045,0,0,0,0,True,0.03083164244890213,0.02139192260801792,0.001606087782420218,0.025170449167490005
youtube/Tom_Nash/train.pt,youtube,Tom_Nash,train,11576,1066,588,10988,18.687074829931973,0.006219765171408653,0,0,0,0,True,0.019873159006237984,0.010517825372517109,-1.7022748579620384e-05,0.01205055508762598
youtube/Tom_Nash/val.pt,youtube,Tom_Nash,val,2867,1066,260,2607,10.026923076923078,0.016044646501541138,0,0,0,0,True,0.029142946004867554,0.01765618287026882,2.2633497792412527e-05,0.01372616644948721
youtube/Unrivaled_Investing/test.pt,youtube,Unrivaled_Investing,test,1060,1066,59,1001,16.966101694915253,0.04245283082127571,0,0,0,0,True,0.03679245337843895,0.012555894441902637,0.00031751932692714036,0.016969166696071625
youtube/Unrivaled_Investing/train.pt,youtube,Unrivaled_Investing,train,7687,1066,272,7415,27.261029411764707,0.011968257836997509,0,0,0,0,True,0.01658758334815502,0.007023948710411787,7.568638102384284e-05,0.007948454469442368
youtube/Unrivaled_Investing/val.pt,youtube,Unrivaled_Investing,val,1247,1066,98,1149,11.724489795918368,0.0408981554210186,0,0,0,0,True,0.030505353584885597,0.014536985196173191,0.0004385719366837293,0.011924035847187042
